Sample	hts_Stats_1: GC_Content	hts_Stats_1: N_Content	hts_Stats_1: Q30_Fraction	hts_Stats_1: SE_Fraction	hts_Stats_1: PE_Fraction	hts_Overlapper_1: Overlap_Length_Max	hts_Overlapper_1: Overlap_Length_Med	hts_Overlapper_1: Sin	hts_Overlapper_1: Min	hts_Overlapper_1: Lin	hts_Primers_1: Fraction_Bp_Lost	hts_NTrimmer_1: Fraction_Bp_Lost	hts_LengthFilter_1: Fraction_Reads_Lost	hts_Stats_2: GC_Content	hts_Stats_2: N_Content	hts_Stats_2: Q30_Fraction	hts_Stats_2: SE_Fraction	hts_Stats_2: PE_Fraction
Bs1_2C_A0	0.5476032967905583	0.0	0.7598787476203526	0.0	1.0	300.0	296.5	0.9760040392630056	0.006829092962953454	0.01716686777404089	0.16724235559943493	0.0	0.0009440311879933219	0.5460257513836093	0.0	0.9680231668480589	0.9911982151450195	0.008801784854980533
Bs1_2C_A5	0.5486613363292705	4.446476648957338e-08	0.7612948732865317	0.0	1.0	300.0	289.5	0.9765871068480928	0.005371403078295784	0.01804149007361142	0.1694553965081444	0.0	0.0003926044282127368	0.5474551474804633	0.0	0.9684383296037387	0.9912862388337809	0.008713761166219105
Bs1_2C_B0	0.5477648246080363	0.0	0.7602712209096941	0.0	1.0	300.0	297.5	0.9792379825641722	0.004683818039002725	0.016078199396825088	0.167234159546228	0.0	0.0005052506439468991	0.5463828628835741	0.0	0.9689362581254474	0.991991198247579	0.008008801752420977
Bs1_2C_B5	0.5476901794817689	0.0	0.7423093988131465	0.0	1.0	300.0	297.5	0.9711778391214726	0.006388852055884374	0.022433308822643057	0.17358476783833746	0.0	0.0005315532480375796	0.5457880106339755	0.0	0.9616187733108347	0.9894993321129966	0.010500667887003413
Bs1_2C_C0	0.547041891816188	0.0	0.7649282500284942	0.0	1.0	300.0	306.5	0.9785694874018092	0.0070529162838248805	0.01437759631436595	0.16648885991372192	0.0	0.0008331019161344071	0.5454288314998309	0.0	0.9708123585862526	0.9924031869557162	0.007596813044283861
Bs1_2C_C5	0.5461868074942632	0.0	0.7641196272585287	0.0	1.0	299.0	285.0	0.9793328442314596	0.004058504909229977	0.016608650859310365	0.16856056402957564	0.0	0.00031922364808785036	0.5445834286742373	0.0	0.9704316146039148	0.9924000510920935	0.007599948907906501
Bs1_2C_D0	0.5484239826938988	0.0	0.7568157512940505	0.0	1.0	300.0	300.0	0.9760550225014859	0.0055935297613993375	0.018351447737114716	0.16941709655490775	0.0	0.000510730779679435	0.5469258059007187	0.0	0.9664948054272078	0.9908238926699863	0.0091761073300137
Bs1_2C_D5	0.5465279176451102	0.0	0.767887074073959	0.0	1.0	300.0	297.5	0.9803162996343848	0.004860697786469404	0.014823002579145764	0.16601499406868084	0.0	0.000506233908993607	0.5450679445212403	0.0	0.9714479179702098	0.992677597209962	0.007322402790038059
